SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
46,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
47,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
48,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
49,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
50,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
51,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
52,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
53,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
54,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
55,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
56,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
57,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
58,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,PF_DDR4_C0_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_C0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL|N_3_inferred_clock,PF_DDR4_C0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
