Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM (64x12),LSRAM (20K),Math (18x18),Chip Globals,PLL,DLL
MSS/MSSIO13_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO14_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO15_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO16_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO17_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO18_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO19_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO20_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO21_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO22_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO23_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO24_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO25_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO26_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO2_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO30_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO34_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO35_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO36_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO37_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO3_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO4_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO5_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO6_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO7_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO8_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/MSSIO9_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
MSS/Primitives,2,0,0,0,0,10,0,0,0,0,0,0
PF_DDR4_C0_0/CCC_0/Primitives,0,0,0,0,0,0,0,0,0,1,1,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_ACT_N/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_A_11_0/Primitives,0,0,0,0,12,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_A_13/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_BA/Primitives,0,0,0,0,2,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_BG/Primitives,0,0,0,0,2,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_CAS_N/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_CKE/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_CS_N/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_ODT/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_RAS_N/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_RESET_N/Primitives,0,0,0,0,1,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/LANE_CTRL/Primitives,1,1,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/Primitives,3,133,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/Primitives,7,6,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_3/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_4/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[0].FIFO_BLK/ram_simple_dp/mem_mem_0_5/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/Primitives,7,6,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_3/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_4/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/LANE_ALIGNMENT/genblk1[1].FIFO_BLK/ram_simple_dp/mem_mem_0_5/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/Primitives,75,114,0,0,0,0,0,0,0,1,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/TIP_CTRL_BLK/LEVELLING/IOG_IF/APB_IOG_CTRL_SM/Primitives,22,17,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/TIP_CTRL_BLK/LEVELLING/IOG_IF/Primitives,38,29,0,0,0,0,0,0,0,0,0,0
PF_DDR4_C0_0/DDRPHY_BLK_0/IOD_TRAINING_0/COREDDR_TIP_INT_U/TIP_CTRL_BLK/LEVELLING/RDLVL/RDLVL_SMS/Primitives,1,0,0,0,0,0,0,0,0,0,0,0
