
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. PF_IOD_GENERIC_RX_C0_TR_PF_IOD_GENERIC_RX_C0_TR_0_COREBCLKSCLKALIGN_Z16_layer0, 655, 246, 449, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. ICB_BCLKSCLKALIGN_Z17_layer0, 655, 246, 449, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_PF_C1_1, 17, 2, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. CORERESET_PF_C1_CORERESET_PF_C1_0_CORERESET_PF_0, 17, 2, 0, 0, 0, 0, 0, 1, 0
.	.	.	. CORERESET_PF_C2, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. CORERESET_PF_C2_CORERESET_PF_C2_0_CORERESET_PF, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. PF_CCC_C2, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. PF_CCC_C2_PF_CCC_C2_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. mipicsi2rxdecoderPF_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. mipicsi2rxdecoderPF_10s_4s_1s_0s_12s_1s_0s, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. RGBtoYCbCr_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. h264_top, 791, 508, 201, 0, 0, 15, 1, 0, 0
.	.	.	. DDR_AXI4_ARBITER_PF_C0, 445, 355, 62, 0, 0, 2, 1, 0, 0
.	.	.	.	. DDR_AXI4_ARBITER_PF_4s_32s_64s_1s_1s_2s_0s, 445, 355, 62, 0, 0, 2, 1, 0, 0
.	.	.	.	.	. DDR_AXI4_ARBITER_PF_Native_4s_32s_64s_1s_1s_2s, 445, 355, 62, 0, 0, 2, 1, 0, 0
.	.	.	.	.	.	. ddr_rw_arbiter_Z8_layer0, 383, 317, 58, 0, 0, 2, 1, 0, 0
.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_video_axi_fifo_Z2_layer0, 306, 235, 50, 0, 0, 2, 0, 0, 0
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_corefifo_fwft_Z4_layer0, 131, 80, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_corefifo_sync_scntr_Z3_layer0, 42, 16, 50, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_ram_wrapper_64s_64s_9_9_1s_1s_2s, 66, 64, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_LSRAM_top_64s_64s_9_9_512s, 66, 64, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_video_axi_fifo_Z5_layer0, 49, 60, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_corefifo_fwft_Z7_layer0, 19, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. ddr_rw_arbiter_C0_ddr_rw_arbiter_C0_0_corefifo_sync_scntr_Z6_layer0, 19, 34, 0, 0, 0, 0, 0, 0, 0
